# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdff[1] c_rdff[2] c_rdff[3]
100000 2000
1 0.002 0 0
2 0.006 0 0
3 0.01 0 0
4 0.014 0 0
5 0.018 0 0
6 0.022 0 0
7 0.026 0 0
8 0.03 0 0
9 0.034 0 0
10 0.038 0 0
11 0.042 0 0
12 0.046 0 0
13 0.05 0 0
14 0.054 0 0
15 0.058 0 0
16 0.062 0 0
17 0.066 0 0
18 0.07 0 0
19 0.074 0 0
20 0.078 0 0
21 0.082 0 0
22 0.086 0 0
23 0.09 0 0
24 0.094 0 0
25 0.098 0 0
26 0.102 0 0
27 0.106 0 0
28 0.11 0 0
29 0.114 0 0
30 0.118 0 0
31 0.122 0 0
32 0.126 0 0
33 0.13 0 0
34 0.134 0 0
35 0.138 0 0
36 0.142 0 0
37 0.146 0 0
38 0.15 0 0
39 0.154 0 0
40 0.158 0 0
41 0.162 0 0
42 0.166 0 0
43 0.17 0 0
44 0.174 0 0
45 0.178 0 0
46 0.182 0 0
47 0.186 0 0
48 0.19 0 0
49 0.194 0 0
50 0.198 0 0
51 0.202 0 0
52 0.206 0 0
53 0.21 0 0
54 0.214 0 0
55 0.218 0 0
56 0.222 0 0
57 0.226 0 0
58 0.23 0 0
59 0.234 0 0
60 0.238 0 0
61 0.242 0 0
62 0.246 0 0
63 0.25 0 0
64 0.254 0 0
65 0.258 0 0
66 0.262 0 0
67 0.266 0 0
68 0.27 0 0
69 0.274 0 0
70 0.278 0 0
71 0.282 0 0
72 0.286 0 0
73 0.29 0 0
74 0.294 0 0
75 0.298 0 0
76 0.302 0 0
77 0.306 0 0
78 0.31 0 0
79 0.314 0 0
80 0.318 0 0
81 0.322 0 0
82 0.326 0 0
83 0.33 0 0
84 0.334 0 0
85 0.338 0 0
86 0.342 0 0
87 0.346 0 0
88 0.35 0 0
89 0.354 0 0
90 0.358 0 0
91 0.362 0 0
92 0.366 0 0
93 0.37 0 0
94 0.374 0 0
95 0.378 0 0
96 0.382 0 0
97 0.386 0 0
98 0.39 0 0
99 0.394 0 0
100 0.398 0 0
101 0.402 0 0
102 0.406 0 0
103 0.41 0 0
104 0.414 0 0
105 0.418 0 0
106 0.422 0 0
107 0.426 0 0
108 0.43 0 0
109 0.434 0 0
110 0.438 0 0
111 0.442 0 0
112 0.446 0 0
113 0.45 0 0
114 0.454 0 0
115 0.458 0 0
116 0.462 0 0
117 0.466 0 0
118 0.47 0 0
119 0.474 0 0
120 0.478 0 0
121 0.482 0 0
122 0.486 0 0
123 0.49 0 0
124 0.494 0 0
125 0.498 0 0
126 0.502 0 0
127 0.506 0 0
128 0.51 0 0
129 0.514 0 0
130 0.518 0 0
131 0.522 0 0
132 0.526 0 0
133 0.53 0 0
134 0.534 0 0
135 0.538 0 0
136 0.542 0 0
137 0.546 0 0
138 0.55 0 0
139 0.554 0 0
